country_name_ltn,level,nuts_id,nameSHORT,chart,value2plot
Bulgaria,regional,BG4,South -West/-Central,4,0.5433911882510013
Croatia,regional,HR02,Pannonian Croatia,4,0.6866267465069861
Croatia,regional,HR03,Adriatic Croatia,4,0.6926147704590818
Croatia,regional,HR05,Zagreb,4,0.6633266533066132
Croatia,regional,HR06,Northern Croatia,4,0.66
Cyprus,regional,CY0,Cyprus,4,0.33762376237623765
Czechia,regional,CZ01,Prague,4,0.7945736434108527
Czechia,regional,CZ02,Central Bohemia,4,0.7276264591439688
Czechia,regional,CZ03,South-West,4,0.7469879518072289
Czechia,regional,CZ04,North-West,4,0.7068273092369478
Czechia,regional,CZ05,North-East,4,0.7607843137254902
Czechia,regional,CZ06,South-East,4,0.701195219123506
Czechia,regional,CZ07,Central Moravia,4,0.6907630522088354
Czechia,regional,CZ08,Moravian Silesia,4,0.74
Denmark,regional,DK01,Capital (region),4,0.7608695652173914
Denmark,regional,DK02,Zealand,4,0.8266932270916335
Denmark,regional,DK03,South Denmark,4,0.7892644135188867
Denmark,regional,DK04,Central Jutland,4,0.8260869565217391
Denmark,regional,DK05,North Jutland,4,0.8369781312127237
Estonia,regional,EE0,Estonia,4,0.8312559923298178
Finland,regional,FI19,West Finland,4,0.9058219178082192
Finland,regional,FI1B,Helsinki-Uusimaa,4,0.9011627906976745
Finland,regional,FI1C,South Finland,4,0.9093904448105437
Finland,regional,FI1D,North and East Finland,4,0.925343811394892
France,regional,FR1,Île-de-France,4,0.6680080482897385
France,regional,FRB,Centre-Val de Loire,4,0.7168674698795181
France,regional,FRC,Burgundy-Franche-Comté,4,0.69
France,regional,FRD,Normandy,4,0.7014028056112225
France,regional,FRE,Hauts-de-France,4,0.657314629258517
France,regional,FRF,Grand Est,4,0.6887550200803213
France,regional,FRG,Loire Region,4,0.6953907815631263
France,regional,FRH,Brittany ,4,0.7469879518072289
France,regional,FRI,New Aquitaine,4,0.688
France,regional,FRJ,Occitania,4,0.7134268537074149
France,regional,FRK,Auvergne-Rhône-Alpes,4,0.7025948103792415
France,regional,FRL,PACA,4,0.6926147704590818
France,regional,FRM,Corsica ,4,0.7037037037037037
Germany,regional,DE1,Baden-Württemberg,4,0.7040618955512572
Germany,regional,DE2,Bavaria,4,0.7624521072796935
Germany,regional,DE3,Berlin,4,0.7184466019417476
Germany,regional,DE4,Brandenburg,4,0.7030651340996169
Germany,regional,DE5,Bremen,4,0.72
Germany,regional,DE6,Hamburg,4,0.7490196078431373
Germany,regional,DE7,Hessen,4,0.7567567567567568
Germany,regional,DE8,Mecklenburg-Vorpommern,4,0.6939571150097466
Germany,regional,DE9,Lower Saxony,4,0.7644787644787645
Germany,regional,DEA,North Rhine-Westphalia,4,0.7341040462427746
Germany,regional,DEB,Rhineland-Palatinate,4,0.7596153846153846
Germany,regional,DEC,Saarland,4,0.756385068762279
Germany,regional,DED,Saxony,4,0.6653919694072657
Germany,regional,DEE,Saxony-Anhalt,4,0.696078431372549
Germany,regional,DEF,Schleswig-Holstein,4,0.7976878612716763
Germany,regional,DEG,Thuringia,4,0.6777996070726916
Greece,regional,EL3,Attica,4,0.49105367793240556
Greece,regional,EL4,"Aegean Islands, Crete",4,0.6294820717131474
Greece,regional,EL5,North Greece,4,0.7265469061876247
Greece,regional,EL6,Central Greece,4,0.6992031872509961
Hungary,regional,HU1,Central Hungary,4,0.5502008032128514
Hungary,regional,HU2,Transdanubia ,4,0.5403225806451613
Hungary,regional,HU3,Great Plain and North,4,0.5433911882510013
Ireland,regional,IE04,Northern and Western,4,0.6253869969040248
Ireland,regional,IE05,Southern,4,0.6491228070175439
Ireland,regional,IE06,Eastern and Midland,4,0.5952848722986247
Italy,regional,ITC,North-West,4,0.7269180754226268
Italy,regional,ITF,South,4,0.7128072445019404
Italy,regional,ITG,Islands,4,0.742483660130719
Italy,regional,ITH,North-East,4,0.7490196078431373
Italy,regional,ITI,Centre,4,0.6867627785058977
Lithuania,regional,LT01,Capital Region,4,0.7289719626168224
Lithuania,regional,LT02,Central/Western Region,4,0.8104138851802403
Luxembourg,regional,LU00,Luxembourg,4,0.8462809917355372
Malta,regional,MT00,Malta,4,0.694
Netherlands,regional,NL1,North Netherlands,4,0.7925531914893617
